="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="overspeed",="",="highspeedbrake",="",="harshacceleration",="",="harshdeceleration",=""
="main",="",="",="",="",="",="",="",=""
="brakes",="0.00594***",="(4.61)",="0.0147***",="(22.60)",="0.00195***",="(4.19)",="0.00301***",="(6.66)"
="range",="-1.538***",="(-4.19)",="-2.201***",="(-10.51)",="-0.342**",="(-3.04)",="-0.494***",="(-4.40)"
="speed",="0.0486***",="(9.56)",="0.0541***",="(17.61)",="-0.0298***",="(-22.52)",="-0.0270***",="(-20.26)"
="rpm",="0.000594",="(1.47)",="0.000832**",="(3.08)",="0.0000912",="(0.84)",="-0.0000713",="(-0.66)"
="acceleratorpedalposition",="0.0140*",="(2.23)",="0.00943*",="(2.48)",="-0.00245",="(-1.04)",="-0.00224",="(-0.96)"
="enginefuelrate",="0.0129",="(1.27)",="0.00481",="(0.75)",="0.0129***",="(3.30)",="0.0134***",="(3.47)"
="time1",="0.0747",="(0.26)",="0.314*",="(2.25)",="0.0984",="(1.50)",="0.156*",="(2.43)"
="time2",="0.488",="(1.77)",="0.346*",="(2.47)",="0.103",="(1.53)",="0.0134",="(0.20)"
="time3",="0.810**",="(3.08)",="0.416**",="(2.97)",="0.122",="(1.80)",="0.121",="(1.81)"
="time4",="0.630*",="(2.32)",="0.300*",="(2.06)",="0.0145",="(0.21)",="0.0782",="(1.15)"
="time5",="0.823**",="(3.13)",="0.470***",="(3.36)",="0.0980",="(1.42)",="0.115",="(1.68)"
="time6",="0.859**",="(3.28)",="0.570***",="(4.21)",="-0.0233",="(-0.33)",="-0.0102",="(-0.14)"
="time7",="0.680*",="(2.48)",="0.492***",="(3.61)",="0.0101",="(0.14)",="0.0459",="(0.65)"
="time8",="0.801**",="(3.05)",="0.510***",="(3.83)",="0.0155",="(0.22)",="0.0315",="(0.45)"
="time9",="0.594*",="(2.17)",="0.417**",="(3.04)",="0.134",="(1.95)",="0.131",="(1.93)"
="time10",="0.675*",="(2.47)",="0.513***",="(3.74)",="0.157*",="(2.31)",="0.190**",="(2.84)"
="time11",="0.489",="(1.74)",="0.475***",="(3.39)",="0.0731",="(1.06)",="0.152*",="(2.24)"
="time12",="0.714**",="(2.66)",="0.390**",="(2.77)",="0.0856",="(1.21)",="0.150*",="(2.17)"
="time13",="0.789**",="(2.93)",="0.520***",="(3.68)",="0.0474",="(0.66)",="0.0651",="(0.92)"
="time14",="1.024***",="(3.86)",="0.402**",="(2.77)",="0.0419",="(0.58)",="0.0781",="(1.09)"
="time15",="0.837**",="(3.01)",="0.360*",="(2.46)",="-0.0770",="(-1.04)",="-0.0981",="(-1.32)"
="time16",="0.636*",="(2.27)",="0.468***",="(3.33)",="-0.0580",="(-0.79)",="-0.0845",="(-1.15)"
="time17",="0.818**",="(3.03)",="0.511***",="(3.69)",="0.0272",="(0.38)",="-0.00878",="(-0.12)"
="time18",="0.466",="(1.63)",="0.422**",="(3.00)",="-0.0451",="(-0.62)",="0.00577",="(0.08)"
="time19",="0.556*",="(2.05)",="0.222",="(1.55)",="-0.0700",="(-0.97)",="-0.125",="(-1.73)"
="time20",="0.810**",="(3.05)",="0.424**",="(3.02)",="-0.0223",="(-0.32)",="0.0103",="(0.15)"
="time21",="0.419",="(1.45)",="0.412**",="(2.89)",="-0.106",="(-1.49)",="-0.0979",="(-1.41)"
="time22",="0.855**",="(3.29)",="0.128",="(0.89)",="-0.0789",="(-1.13)",="-0.0350",="(-0.51)"
="time23",="0.580*",="(2.13)",="0.0142",="(0.10)",="0.0970",="(1.43)",="0.101",="(1.51)"
="time24",="0",="(.)",="0",="(.)",="0",="(.)",="0",="(.)"
="_cons",="-10.47***",="(-23.08)",="-9.385***",="(-36.76)",="-2.063***",="(-20.06)",="-2.013***",="(-19.77)"
="N",="16416",="",="25920",="",="38016",="",="38448",=""
="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
